state_registry_url,state_name,state_code
https://www.alabamalifelegacy.org/Home.aspx,Alabama,AL
https://alaskadonorregistry.org/ADRPublic/,Alaska,AK
https://www.azdonorregistry.org/registernow/registration.aspx,Arizona,AZ
http://www.donatelifearkansas.org/,Arkansas,AR
https://register.donatelifecalifornia.org/register/,California,CA
http://www.donatelifecolorado.org/index.php?page=11,Colorado,CO
http://www.donatelifenewengland.org/register/,Connecticut,CT
https://citizen.dmv.de.gov/public.ejs?command=PublicOdHome,Delaware,DE
https://www.donatelifedc.org/register/,District Columbia,DC
https://www.donatelifeflorida.org/register/,Florida,FL
https://www.donatelifegeorgia.org/register/,Georgia,GA
https://www.donoregistry.org/Register/hi,Hawaii,HI
https://register.yesidaho.org/register,Idaho,ID
http://www.donatelifeillinois.org/index.php/register/,Illinois,IL
https://www.donatelifeindiana.org/register/,Indiana,IN
https://www.iowadonorregistry.org/index.php?option=com_donor&amp;task=register&amp;Itemid=29,Iowa,IA
https://www.donatelifekansas.com/register/step1.aspx,Kansas,KS
https://www.donatelifeky.org/,Kentucky,KY
https://donatelifela.org/,Louisiana,LA
http://www.donatelifenewengland.org/register/,Maine,ME
http://www.donatelifemaryland.org/how_to_register/index.html,Maryland,MD
http://www.donatelifenewengland.org/register/,Massachusetts,MA
http://www.giftoflifemichigan.org/showusyourheart/Default.aspx,Michigan,MI
https://www.lifesourcedonorregistry.org/donate.aspx,Minnesota,MN
http://www.donatelifems.org/Enroll.aspx,Mississippi,MS
https://www.missouriorgandonor.com/odpublicsite/Default.aspx,Missouri,MO
https://www.donatelifetoday.com/register_online/index.php,Montana,MailTo 
https://www.donoregistry.org/Register/ne/en,Nebraska,NE
https://www.donoregistry.org/Register/Dynamic/Enrollment.aspx?RegistryOwnerID=3&amp;LanguageCode=en,Nevada,NVDA  
http://www.donatelifenewengland.org/register/,New Hamphire,NH
http://www.njsharingnetwork.org/register,New Jersey,NJ
http://www.nmdonor.com/donor/step1.aspx,New Mexico,NM
https://apps.health.ny.gov/professionals/patients/donation/organ/DonorRegistration.action,New York,NY
https://www.donatelifenc.org/register,North Carolina,NC
https://secure.apps.state.nd.us/dot/dlts/dlos/donorChange.htm,North Dakota,ND
http://www.donatelifeohio.org/,Ohio,OH
https://www.lifeshareregistry.org/register/,Oklahoma,OK
https://www.donatelifenw.org/register-now,Oregon,OR
http://www.dot4.state.pa.us/organ_donor/index.shtml,Pennsylvania,PA
https://register.donevidapuertorico.org/register,Puerto Rico,PR
http://www.donatelifenewengland.org/register,Rhode Island,RI
https://www.donatelifesc.org/register/,South Carolina,SC
http://dps.sd.gov/licensing/driver_licensing/organdonation.aspx,South Dakota,SD
https://donatelifetn.org/SignUp.aspx?New=1,Tennesse,TN
https://www.donatelifetexas.org/register,Texas,TX
https://register.donevidapuertorico.org/register?lang=en,U.S. Virgin Islands,VI
https://register.yesutah.org/register,Utah,UT
http://www.donatelifenewengland.org/register/,Vermont,VT
https://www.donatelifevirginia.org/register/signup1.aspx,Virginia,VA
http://www.donatelifetoday.com/,Washington,WA
https://donatelife.wv.gov/,West Virginia,WV
https://health.wisconsin.gov/donorRegistry/public/donate.html,Wisconsin,WI
http://www.donatelifewyoming.org/register-now/,Wyoming,WY
